experiment_id,model,mode,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
gemini_flash_pure_run1,gemini-2.5-flash,pure,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.65,correct,True,"The candidate correctly distinguishes the behavior of the `==` operator for primitive and object types. However, the explanation of the `equals()` method is incomplete. While `equals()` is *intended* for value comparison, the default implementation inherited from `java.lang.Object` performs a reference comparison, identical to `==`. For `equals()` to compare values, it must be explicitly overridden in the class, a crucial detail for understanding object equality in Java.",Correctly identifies that the `==` operator compares references for object types.; Correctly identifies that the `==` operator compares values for primitive types.; Understands the general intended purpose of the `equals()` method for value comparison.,"The default implementation of the `equals()` method (inherited from `java.lang.Object`) performs a reference comparison, identical to the `==` operator.; The `equals()` method must be explicitly overridden in a class to provide meaningful value comparison for its objects.; The contract of the `equals()` method (reflexivity, symmetry, transitivity, consistency, non-nullity) which must be adhered to when overriding.",8035,2026-05-12T15:08:40.898929,
gemini_flash_pure_run1,gemini-2.5-flash,pure,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,0.85,correct,True,"The candidate provides a solid and accurate explanation of `Optional`, correctly identifying its core purpose in mitigating `NullPointerException`s and its introduction in Java 8. The explanation of how it forces explicit handling of absent values and the examples of `isPresent()`, `orElse()`, and `map()` are good. To demonstrate a more comprehensive understanding, the candidate could have mentioned the factory methods for creating `Optional` instances (like `Optional.of()` and `Optional.ofNullable()`) and other useful methods such as `orElseThrow()` or `ifPresent()`. Discussing best practices for its usage would also add further depth.","Accurately defines Optional as a container for a potentially absent value.; Correctly identifies its introduction in Java 8.; Clearly states its primary purpose: reducing NullPointerExceptions.; Explains the paradigm shift from returning null to returning Optional.; Highlights the benefit of forcing explicit handling of absent values.; Provides relevant examples of common methods (isPresent(), orElse(), map()).","Factory methods for creating Optional instances (e.g., Optional.of(), Optional.ofNullable(), Optional.empty()).; Other common methods like orElseThrow(), ifPresent(), filter(), or flatMap().; The immutability of Optional instances.; Best practices regarding its usage (e.g., not for fields, not for collections, not for method parameters in all cases).; The existence of primitive-specific Optional types (OptionalInt, OptionalLong, OptionalDouble).",7322,2026-05-12T15:08:48.522515,
gemini_flash_pure_run1,gemini-2.5-flash,pure,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.65,correct,True,"The candidate correctly identifies that `synchronized` provides mutual exclusion to prevent race conditions in methods and code blocks, which is a good foundational understanding. However, the answer lacks depth regarding the underlying mechanism, specifically the concept of an object's intrinsic lock (monitor) and how it's used for different `synchronized` constructs. Crucially, it also misses the memory visibility guarantees provided by `synchronized`, which are essential for correct concurrent programming beyond just mutual exclusion.",Correctly identifies mutual exclusion as the primary purpose of `synchronized`.; Mentions that `synchronized` can be applied to methods and code blocks.; Accurately links `synchronized` to the prevention of race conditions.; Provides a clear and correct definition of a race condition.,"Object Monitor / Intrinsic Lock (the underlying mechanism `synchronized` uses); Scope of the lock (e.g., `this` for instance methods, `Class` object for static methods, specified object for blocks); Memory Visibility Guarantees (happens-before relationship); Reentrancy of `synchronized` locks",7953,2026-05-12T15:08:56.777338,
gemini_flash_pure_run1,gemini-2.5-flash,pure,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.35,partial,False,"The candidate provides a correct high-level overview of the Garbage Collector's purpose and its primary benefit. However, the answer lacks technical depth regarding *how* the Garbage Collector actually works. To improve, the candidate should elaborate on fundamental concepts such as GC roots, reachability, the different phases involved in garbage collection (e.g., marking, sweeping, compacting), the concept of generational garbage collection, and the impact of 'Stop-the-World' pauses. Mentioning common GC algorithms would also demonstrate a deeper understanding of the mechanism.","Correctly identifies the Garbage Collector as a JVM mechanism for automatic memory management.; Accurately states that it frees heap memory occupied by objects without live references.; Highlights the benefit of not needing manual memory deallocation, contrasting it with languages like C++.","GC Roots and the concept of object reachability from these roots.; The different phases of garbage collection (e.g., Mark, Sweep, Compact).; The Generational Hypothesis and how it leads to Generational Garbage Collection (Young/Old Generation, Minor/Major GC).; The concept of 'Stop-the-World' pauses and their impact.; Specific types or algorithms of Garbage Collectors (e.g., Mark-Sweep, Copying, G1, Parallel, CMS).; Detailed triggering conditions for GC beyond 'JVM triggered' (e.g., memory pressure).",9183,2026-05-12T15:09:06.261312,
gemini_flash_pure_run1,gemini-2.5-flash,pure,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,0.95,correct,True,"The candidate provided a very strong and accurate definition of a functional interface, covering all essential aspects for a junior role. The explanation of its core characteristic, its link to lambdas, the annotation, and the allowance for default/static methods demonstrates a solid understanding. A minor point for deeper understanding would be to explicitly mention that inherited methods from `java.lang.Object` do not violate the single abstract method rule.",Correctly identifies the core characteristic of having exactly one abstract method.; Accurately explains its purpose as a target type for lambda expressions.; Mentions the `@FunctionalInterface` annotation and its role in compiler enforcement.; Correctly states that functional interfaces can have any number of default and static methods.,"Explicitly mentioning that methods inherited from `java.lang.Object` (e.g., `equals`, `hashCode`, `toString`) do not count towards the single abstract method rule.",5783,2026-05-12T15:09:12.344722,
gemini_flash_pure_run1,gemini-2.5-flash,pure,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,0.9,correct,True,"The candidate provided a concise and accurate description of all four Java access modifiers and their respective visibility scopes. They correctly identified the package-private modifier and noted its lack of an explicit keyword. To enhance the answer, discussing which language elements each modifier can be applied to (e.g., top-level classes vs. members) and providing practical examples or implications for API design would add further depth.",Correctly identified all four access modifiers in Java.; Accurately described the visibility scope for each access modifier.; Correctly noted that the package-private access level has no explicit keyword.,"Did not specify which language elements (e.g., classes, methods, fields, constructors) each modifier can be applied to (e.g., private and protected cannot be applied to top-level classes).; Did not discuss the practical implications of using different access modifiers for API design or inheritance beyond basic visibility rules.; No examples were provided to illustrate the differences in a practical context.",7681,2026-05-12T15:09:20.326136,
gemini_flash_pure_run1,gemini-2.5-flash,pure,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.9,correct,True,"The candidate provides a strong answer, clearly defining the Open/Closed Principle and illustrating it with a pertinent example. The explanation of how the Strategy pattern adheres to OCP by avoiding 'if-else' branches is particularly insightful. To elevate the answer further, the candidate could have explicitly mentioned polymorphism as the core concept enabling OCP and briefly touched upon the practical benefits of following this principle.","Provides an accurate and concise definition of the Open/Closed Principle.; Correctly identifies interfaces and inheritance as primary mechanisms for achieving OCP.; Offers a relevant and well-explained example (Strategy pattern) that clearly demonstrates the principle in practice, specifically how it avoids modifying existing code with new conditional branches.","Explicit mention of polymorphism as the underlying mechanism that enables OCP through interfaces and inheritance.; Discussion of the direct benefits of adhering to OCP, such as reduced risk of introducing bugs, improved maintainability, or better testability.; Could have explicitly mentioned abstract classes as another mechanism alongside interfaces and concrete inheritance.",5945,2026-05-12T15:09:26.572467,
gemini_flash_pure_run1,gemini-2.5-flash,pure,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.9,correct,True,"The candidate provides an excellent foundational understanding of abstraction, hitting all the key points for a junior role. The definition is accurate, the Java-specific mechanisms are correctly identified, and the example is very illustrative. To demonstrate a deeper understanding, the candidate could elaborate on the specific differences and use cases for abstract classes versus interfaces, and how access modifiers also play a crucial role in hiding implementation details.",Provides a clear and concise definition of abstraction.; Correctly identifies abstract classes and interfaces as primary mechanisms for achieving abstraction in Java.; Articulates the core principle of focusing on 'what' an object does rather than 'how' it does it.; Offers a relevant and practical Java example (Collections.sort()) to illustrate the concept.,"Detailed differentiation between abstract classes and interfaces (e.g., multiple inheritance, constructors, fields, default methods in interfaces).; The role of access modifiers (private, protected) in contributing to abstraction by controlling visibility of implementation details.; How abstraction facilitates polymorphism and allows for flexible, extensible code.",6905,2026-05-12T15:09:33.779057,
gemini_flash_pure_run1,gemini-2.5-flash,pure,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.4,partial,True,"The candidate correctly identified the fundamental difference between String (immutable) and StringBuilder/StringBuffer (mutable), and the performance advantage of mutable builders for repeated modifications. However, the answer completely missed the critical distinction between StringBuilder and StringBuffer, which is their thread-safety. Stating they are 'used in a similar way' indicates a lack of understanding of their core difference and respective use cases in concurrent programming.",Correctly identified String as immutable and explained that changes create new objects.; Correctly identified StringBuilder and StringBuffer as mutable.; Understood the performance benefit of using mutable builders for multiple modifications.,"Thread-safety difference between StringBuilder and StringBuffer (StringBuffer is synchronized, StringBuilder is not).; Performance implications of synchronization for StringBuilder vs. StringBuffer.; Specific use cases for each (e.g., StringBuffer for multi-threaded environments, StringBuilder for single-threaded).",5668,2026-05-12T15:09:39.749230,
gemini_flash_pure_run1,gemini-2.5-flash,pure,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.35,partial,True,"The candidate provides a high-level overview, correctly identifying the purpose, some operations, and the introduction version of the Stream API. However, the answer lacks significant technical depth. It misses the core definition of what a Stream fundamentally is (a sequence, not a storage mechanism), the crucial distinction between intermediate and terminal operations, and the concept of lazy evaluation, all of which are fundamental to understanding how the Stream API works. Expanding on the functional programming aspects and diverse stream sources would also strengthen the answer.","Correctly identifies the primary use case of the Stream API (processing collections, though it's broader than just collections).; Mentions common operations like filtering, sorting, and mapping.; Correctly states that it was introduced in Java 8.","Fundamental definition of a Stream (a sequence of elements, not a data structure that stores elements).; Distinction between intermediate and terminal operations, and the necessity of a terminal operation to trigger execution.; Lazy evaluation of stream operations.; The concept of a stream pipeline.; Functional programming paradigm and the use of lambda expressions with streams.; Immutability (streams do not modify the source collection).; Variety of stream sources beyond just collections (e.g., arrays, `Stream.of()`, `Stream.generate()`, `Stream.iterate()`, I/O channels).",7724,2026-05-12T15:09:47.775191,
